AGNO,COD_DEPE,COD_REG_RBD,COD_ENSE,PROM_GRAL
2012,Municipal,Región Metropolitana de Santiago,Educacion Media,4.338619881327375
2012,Municipal,Región de Antofagasta,Educacion Basica,5.143365561291452
2012,Municipal,Región de Antofagasta,Educacion Media,4.470518728044163
2012,Municipal,Región de Arica y Parinacota,Educacion Basica,5.285636507622253
2012,Municipal,Región de Arica y Parinacota,Educacion Media,4.498622291021672
2012,Municipal,Región de Atacama,Educacion Basica,5.2073799644339065
2012,Municipal,Región de Atacama,Educacion Media,4.503856475499454
2012,Municipal,Región de Aysén del Gral. Ibañez del Campo,Educacion Basica,5.072491626620067
2012,Municipal,Región de Aysén del Gral. Ibañez del Campo,Educacion Media,4.0029814271749755
2012,Municipal,Región de Coquimbo,Educacion Basica,5.200941268751839
2012,Municipal,Región de Coquimbo,Educacion Media,4.507241561181435
2012,Municipal,Región de La Araucanía,Educacion Basica,5.223029469468659
2012,Municipal,Región de La Araucanía,Educacion Media,4.552327975294956
2012,Municipal,Región de Los Lagos,Educacion Basica,5.212080239765684
2012,Municipal,Región de Los Lagos,Educacion Media,4.588353813793867
2012,Municipal,Región de Los Ríos,Educacion Basica,5.18795000404498
2012,Municipal,Región de Los Ríos,Educacion Media,4.616850699844479
2012,Municipal,Región de Magallanes y Antártica Chilena,Educacion Basica,5.430499459069599
2012,Municipal,Región de Magallanes y Antártica Chilena,Educacion Media,4.789916506101477
2012,Municipal,Región de Tarapacá,Educacion Basica,4.723544528134692
2012,Municipal,Región de Tarapacá,Educacion Media,4.129998140226892
2012,Municipal,Región de Valparaíso,Educacion Basica,5.092260191999185
2012,Municipal,Región de Valparaíso,Educacion Media,4.4372101246427205
2012,Municipal,Región del Bío-Bío,Educacion Basica,5.281360070014894
2012,Municipal,Región del Bío-Bío,Educacion Media,4.7036435006657555
2012,Municipal,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.226299468162026
2012,Municipal,Región del Libertador Bernardo O'Higgins,Educacion Media,4.750147136497397
2012,Municipal,Región del Maule,Educacion Basica,5.248377382414709
2012,Municipal,Región del Maule,Educacion Media,4.6937617656605
2012,Particular Pagado,Región Metropolitana de Santiago,Educacion Basica,5.789449661454135
2012,Particular Pagado,Región Metropolitana de Santiago,Educacion Media,5.624010587082926
